,FORMULA,stabilityVec
0,Ac1,1.0
0,Ac0.9 Ag0.1,0.0
0,Ac0.8 Ag0.2,0.0
0,Ac0.7 Ag0.3,1.0
0,Ac0.6 Ag0.4,0.0
0,Ac0.5 Ag0.5,1.0
0,Ac0.4 Ag0.6,0.0
0,Ac0.3 Ag0.7,0.0
0,Ac0.2 Ag0.8,0.0
0,Ac0.1 Ag0.9,0.0
0,Ag1,1.0
1,Ac1,1.0
1,Ac0.9 Al0.1,0.0
1,Ac0.8 Al0.2,0.0
1,Ac0.7 Al0.3,1.0
1,Ac0.6 Al0.4,0.0
1,Ac0.5 Al0.5,0.0
1,Ac0.4 Al0.6,0.0
1,Ac0.3 Al0.7,0.0
1,Ac0.2 Al0.8,0.0
1,Ac0.1 Al0.9,0.0
1,Al1,1.0
2,Ac1,1.0
2,Ac0.9 As0.1,0.0
2,Ac0.8 As0.2,0.0
2,Ac0.7 As0.3,0.0
2,Ac0.6 As0.4,0.0
2,Ac0.5 As0.5,0.0
2,Ac0.4 As0.6,0.0
2,Ac0.3 As0.7,0.0
2,Ac0.2 As0.8,0.0
2,Ac0.1 As0.9,0.0
2,As1,1.0
3,Ac1,1.0
3,Ba0.1 Ac0.9,0.0
3,Ba0.2 Ac0.8,0.0
3,Ba0.3 Ac0.7,0.0
3,Ba0.4 Ac0.6,0.0
3,Ba0.5 Ac0.5,0.0
3,Ba0.6 Ac0.4,0.0
3,Ba0.7 Ac0.3,0.0
3,Ba0.8 Ac0.2,0.0
3,Ba0.9 Ac0.1,0.0
3,Ba1,1.0
4,Ac1,1.0
4,Ac0.9 Bi0.1,0.0
4,Ac0.8 Bi0.2,0.0
4,Ac0.7 Bi0.3,0.0
4,Ac0.6 Bi0.4,0.0
4,Ac0.5 Bi0.5,0.0
4,Ac0.4 Bi0.6,0.0
4,Ac0.3 Bi0.7,0.0
4,Ac0.2 Bi0.8,0.0
4,Ac0.1 Bi0.9,0.0
4,Bi1,1.0
5,Ac1,1.0
5,Ac0.9 Br0.1,0.0
5,Ac0.8 Br0.2,0.0
5,Ac0.7 Br0.3,1.0
5,Ac0.6 Br0.4,0.0
5,Ac0.5 Br0.5,0.0
5,Ac0.4 Br0.6,0.0
5,Ac0.3 Br0.7,0.0
5,Ac0.2 Br0.8,0.0
5,Ac0.1 Br0.9,0.0
5,Br1,1.0
6,Ac1,1.0
6,Ac0.9 C0.1,0.0
6,Ac0.8 C0.2,0.0
6,Ac0.7 C0.3,0.0
6,Ac0.6 C0.4,0.0
6,Ac0.5 C0.5,0.0
6,Ac0.4 C0.6,0.0
6,Ac0.3 C0.7,0.0
6,Ac0.2 C0.8,0.0
6,Ac0.1 C0.9,0.0
6,C1,1.0
7,Ac1,1.0
7,Ca0.1 Ac0.9,0.0
7,Ca0.2 Ac0.8,0.0
7,Ca0.3 Ac0.7,0.0
7,Ca0.4 Ac0.6,0.0
7,Ca0.5 Ac0.5,0.0
7,Ca0.6 Ac0.4,0.0
7,Ca0.7 Ac0.3,0.0
7,Ca0.8 Ac0.2,0.0
7,Ca0.9 Ac0.1,0.0
7,Ca1,1.0
8,Ac1,1.0
8,Ac0.9 Eu0.1,0.0
8,Ac0.8 Eu0.2,0.0
8,Ac0.7 Eu0.3,0.0
8,Ac0.6 Eu0.4,0.0
8,Ac0.5 Eu0.5,0.0
8,Ac0.4 Eu0.6,0.0
8,Ac0.3 Eu0.7,0.0
8,Ac0.2 Eu0.8,0.0
8,Ac0.1 Eu0.9,0.0
8,Eu1,1.0
9,Ac1,1.0
9,Ac0.9 Fe0.1,0.0
9,Ac0.8 Fe0.2,0.0
9,Ac0.7 Fe0.3,0.0
9,Ac0.6 Fe0.4,0.0
9,Ac0.5 Fe0.5,0.0
9,Ac0.4 Fe0.6,0.0
9,Ac0.3 Fe0.7,0.0
9,Ac0.2 Fe0.8,0.0
9,Ac0.1 Fe0.9,0.0
9,Fe1,1.0
10,Ac1,1.0
10,Ac0.9 In0.1,0.0
10,Ac0.8 In0.2,0.0
10,Ac0.7 In0.3,1.0
10,Ac0.6 In0.4,0.0
10,Ac0.5 In0.5,0.0
10,Ac0.4 In0.6,0.0
10,Ac0.3 In0.7,0.0
10,Ac0.2 In0.8,1.0
10,Ac0.1 In0.9,0.0
10,In1,1.0
11,Ac1,1.0
11,Ac0.9 Ir0.1,0.0
11,Ac0.8 Ir0.2,0.0
11,Ac0.7 Ir0.3,0.0
11,Ac0.6 Ir0.4,0.0
11,Ac0.5 Ir0.5,0.0
11,Ac0.4 Ir0.6,0.0
11,Ac0.3 Ir0.7,0.0
11,Ac0.2 Ir0.8,0.0
11,Ac0.1 Ir0.9,0.0
11,Ir1,1.0
12,Ac1,1.0
12,Ac0.9 La0.1,0.0
12,Ac0.8 La0.2,0.0
12,Ac0.7 La0.3,0.0
12,Ac0.6 La0.4,0.0
12,Ac0.5 La0.5,0.0
12,Ac0.4 La0.6,0.0
12,Ac0.3 La0.7,0.0
12,Ac0.2 La0.8,0.0
12,Ac0.1 La0.9,0.0
12,La1,1.0
13,Ac1,1.0
13,Ac0.9 Mo0.1,0.0
13,Ac0.8 Mo0.2,0.0
13,Ac0.7 Mo0.3,0.0
13,Ac0.6 Mo0.4,0.0
13,Ac0.5 Mo0.5,0.0
13,Ac0.4 Mo0.6,0.0
13,Ac0.3 Mo0.7,0.0
13,Ac0.2 Mo0.8,0.0
13,Ac0.1 Mo0.9,0.0
13,Mo1,1.0
14,Ac1,1.0
14,Na0.1 Ac0.9,0.0
14,Na0.2 Ac0.8,0.0
14,Na0.3 Ac0.7,0.0
14,Na0.4 Ac0.6,0.0
14,Na0.5 Ac0.5,0.0
14,Na0.6 Ac0.4,0.0
14,Na0.7 Ac0.3,0.0
14,Na0.8 Ac0.2,0.0
14,Na0.9 Ac0.1,0.0
14,Na1,1.0
15,Ac1,1.0
15,Ac0.9 Nd0.1,0.0
15,Ac0.8 Nd0.2,0.0
15,Ac0.7 Nd0.3,0.0
15,Ac0.6 Nd0.4,0.0
15,Ac0.5 Nd0.5,0.0
15,Ac0.4 Nd0.6,0.0
15,Ac0.3 Nd0.7,0.0
15,Ac0.2 Nd0.8,0.0
15,Ac0.1 Nd0.9,0.0
15,Nd1,1.0
16,Ac1,1.0
16,Ac0.9 Ni0.1,0.0
16,Ac0.8 Ni0.2,0.0
16,Ac0.7 Ni0.3,0.0
16,Ac0.6 Ni0.4,0.0
16,Ac0.5 Ni0.5,0.0
16,Ac0.4 Ni0.6,0.0
16,Ac0.3 Ni0.7,0.0
16,Ac0.2 Ni0.8,0.0
16,Ac0.1 Ni0.9,0.0
16,Ni1,1.0
17,Ac1,1.0
17,Ac0.9 Os0.1,0.0
17,Ac0.8 Os0.2,0.0
17,Ac0.7 Os0.3,0.0
17,Ac0.6 Os0.4,0.0
17,Ac0.5 Os0.5,0.0
17,Ac0.4 Os0.6,0.0
17,Ac0.3 Os0.7,0.0
17,Ac0.2 Os0.8,0.0
17,Ac0.1 Os0.9,0.0
17,Os1,1.0
18,Ac1,1.0
18,Ac0.9 Pa0.1,0.0
18,Ac0.8 Pa0.2,0.0
18,Ac0.7 Pa0.3,0.0
18,Ac0.6 Pa0.4,0.0
18,Ac0.5 Pa0.5,0.0
18,Ac0.4 Pa0.6,0.0
18,Ac0.3 Pa0.7,0.0
18,Ac0.2 Pa0.8,0.0
18,Ac0.1 Pa0.9,0.0
18,Pa1,1.0
19,Ac1,1.0
19,Ac0.9 Pd0.1,0.0
19,Ac0.8 Pd0.2,0.0
19,Ac0.7 Pd0.3,0.0
19,Ac0.6 Pd0.4,0.0
19,Ac0.5 Pd0.5,0.0
19,Ac0.4 Pd0.6,0.0
19,Ac0.3 Pd0.7,0.0
19,Ac0.2 Pd0.8,0.0
19,Ac0.1 Pd0.9,0.0
19,Pd1,1.0
20,Ac1,1.0
20,Ac0.9 Pm0.1,0.0
20,Ac0.8 Pm0.2,0.0
20,Ac0.7 Pm0.3,0.0
20,Ac0.6 Pm0.4,0.0
20,Ac0.5 Pm0.5,0.0
20,Ac0.4 Pm0.6,0.0
20,Ac0.3 Pm0.7,0.0
20,Ac0.2 Pm0.8,0.0
20,Ac0.1 Pm0.9,0.0
20,Pm1,1.0
21,Ac1,1.0
21,Ac0.9 Pr0.1,0.0
21,Ac0.8 Pr0.2,0.0
21,Ac0.7 Pr0.3,0.0
21,Ac0.6 Pr0.4,0.0
21,Ac0.5 Pr0.5,0.0
21,Ac0.4 Pr0.6,0.0
21,Ac0.3 Pr0.7,0.0
21,Ac0.2 Pr0.8,0.0
21,Ac0.1 Pr0.9,0.0
21,Pr1,1.0
22,Ac1,1.0
22,Rb0.1 Ac0.9,0.0
22,Rb0.2 Ac0.8,0.0
22,Rb0.3 Ac0.7,0.0
22,Rb0.4 Ac0.6,0.0
22,Rb0.5 Ac0.5,0.0
22,Rb0.6 Ac0.4,0.0
22,Rb0.7 Ac0.3,0.0
22,Rb0.8 Ac0.2,0.0
22,Rb0.9 Ac0.1,0.0
22,Rb1,1.0
23,Ac1,1.0
23,Ac0.9 Re0.1,0.0
23,Ac0.8 Re0.2,0.0
23,Ac0.7 Re0.3,0.0
23,Ac0.6 Re0.4,0.0
23,Ac0.5 Re0.5,0.0
23,Ac0.4 Re0.6,0.0
23,Ac0.3 Re0.7,0.0
23,Ac0.2 Re0.8,0.0
23,Ac0.1 Re0.9,0.0
23,Re1,1.0
24,Ac1,1.0
24,Ac0.9 Rh0.1,0.0
24,Ac0.8 Rh0.2,0.0
24,Ac0.7 Rh0.3,0.0
24,Ac0.6 Rh0.4,0.0
24,Ac0.5 Rh0.5,0.0
24,Ac0.4 Rh0.6,0.0
24,Ac0.3 Rh0.7,0.0
24,Ac0.2 Rh0.8,0.0
24,Ac0.1 Rh0.9,0.0
24,Rh1,1.0
25,Ac1,1.0
25,Ac0.9 Sb0.1,0.0
25,Ac0.8 Sb0.2,0.0
25,Ac0.7 Sb0.3,0.0
25,Ac0.6 Sb0.4,0.0
25,Ac0.5 Sb0.5,0.0
25,Ac0.4 Sb0.6,0.0
25,Ac0.3 Sb0.7,0.0
25,Ac0.2 Sb0.8,0.0
25,Ac0.1 Sb0.9,0.0
25,Sb1,1.0
26,Ac1,1.0
26,Ac0.9 Tb0.1,0.0
26,Ac0.8 Tb0.2,0.0
26,Ac0.7 Tb0.3,0.0
26,Ac0.6 Tb0.4,0.0
26,Ac0.5 Tb0.5,0.0
26,Ac0.4 Tb0.6,0.0
26,Ac0.3 Tb0.7,0.0
26,Ac0.2 Tb0.8,0.0
26,Ac0.1 Tb0.9,0.0
26,Tb1,1.0
27,Ac1,1.0
27,Ac0.9 Ti0.1,0.0
27,Ac0.8 Ti0.2,0.0
27,Ac0.7 Ti0.3,0.0
27,Ac0.6 Ti0.4,0.0
27,Ac0.5 Ti0.5,0.0
27,Ac0.4 Ti0.6,0.0
27,Ac0.3 Ti0.7,0.0
27,Ac0.2 Ti0.8,0.0
27,Ac0.1 Ti0.9,0.0
27,Ti1,1.0
28,Ac1,1.0
28,Ac0.9 Tl0.1,0.0
28,Ac0.8 Tl0.2,0.0
28,Ac0.7 Tl0.3,0.0
28,Ac0.6 Tl0.4,0.0
28,Ac0.5 Tl0.5,0.0
28,Ac0.4 Tl0.6,0.0
28,Ac0.3 Tl0.7,0.0
28,Ac0.2 Tl0.8,1.0
28,Ac0.1 Tl0.9,0.0
28,Tl1,1.0
29,Ac1,1.0
29,Ac0.9 Tm0.1,0.0
29,Ac0.8 Tm0.2,0.0
29,Ac0.7 Tm0.3,0.0
29,Ac0.6 Tm0.4,0.0
29,Ac0.5 Tm0.5,0.0
29,Ac0.4 Tm0.6,0.0
29,Ac0.3 Tm0.7,0.0
29,Ac0.2 Tm0.8,0.0
29,Ac0.1 Tm0.9,0.0
29,Tm1,1.0
30,Ac1,1.0
30,Ac0.9 U0.1,0.0
30,Ac0.8 U0.2,0.0
30,Ac0.7 U0.3,0.0
30,Ac0.6 U0.4,0.0
30,Ac0.5 U0.5,0.0
30,Ac0.4 U0.6,0.0
30,Ac0.3 U0.7,0.0
30,Ac0.2 U0.8,0.0
30,Ac0.1 U0.9,0.0
30,U1,1.0
31,Ac1,1.0
31,Ac0.9 V0.1,0.0
31,Ac0.8 V0.2,0.0
31,Ac0.7 V0.3,0.0
31,Ac0.6 V0.4,0.0
31,Ac0.5 V0.5,0.0
31,Ac0.4 V0.6,0.0
31,Ac0.3 V0.7,0.0
31,Ac0.2 V0.8,0.0
31,Ac0.1 V0.9,0.0
31,V1,1.0
32,Ac1,1.0
32,Ac0.9 W0.1,0.0
32,Ac0.8 W0.2,0.0
32,Ac0.7 W0.3,0.0
32,Ac0.6 W0.4,0.0
32,Ac0.5 W0.5,0.0
32,Ac0.4 W0.6,0.0
32,Ac0.3 W0.7,0.0
32,Ac0.2 W0.8,0.0
32,Ac0.1 W0.9,0.0
32,W1,1.0
33,Ac1,1.0
33,Ac0.9 Y0.1,0.0
33,Ac0.8 Y0.2,0.0
33,Ac0.7 Y0.3,0.0
33,Ac0.6 Y0.4,0.0
33,Ac0.5 Y0.5,0.0
33,Ac0.4 Y0.6,0.0
33,Ac0.3 Y0.7,0.0
33,Ac0.2 Y0.8,0.0
33,Ac0.1 Y0.9,0.0
33,Y1,1.0
34,Ac1,1.0
34,Ac0.9 Zn0.1,0.0
34,Ac0.8 Zn0.2,0.0
34,Ac0.7 Zn0.3,1.0
34,Ac0.6 Zn0.4,0.0
34,Ac0.5 Zn0.5,0.0
34,Ac0.4 Zn0.6,0.0
34,Ac0.3 Zn0.7,0.0
34,Ac0.2 Zn0.8,0.0
34,Ac0.1 Zn0.9,0.0
34,Zn1,1.0
35,Ag1,1.0
35,Al0.1 Ag0.9,0.0
35,Al0.2 Ag0.8,0.0
35,Al0.3 Ag0.7,0.0
35,Al0.4 Ag0.6,0.0
35,Al0.5 Ag0.5,0.0
35,Al0.6 Ag0.4,0.0
35,Al0.7 Ag0.3,1.0
35,Al0.8 Ag0.2,0.0
35,Al0.9 Ag0.1,0.0
35,Al1,1.0
36,Ag1,1.0
36,Ag0.9 As0.1,0.0
36,Ag0.8 As0.2,0.0
36,Ag0.7 As0.3,0.0
36,Ag0.6 As0.4,0.0
36,Ag0.5 As0.5,0.0
36,Ag0.4 As0.6,0.0
36,Ag0.3 As0.7,0.0
36,Ag0.2 As0.8,0.0
36,Ag0.1 As0.9,0.0
36,As1,1.0
37,Ag1,1.0
37,Ag0.9 B0.1,0.0
37,Ag0.8 B0.2,0.0
37,Ag0.7 B0.3,0.0
37,Ag0.6 B0.4,0.0
37,Ag0.5 B0.5,0.0
37,Ag0.4 B0.6,0.0
37,Ag0.3 B0.7,0.0
37,Ag0.2 B0.8,0.0
37,Ag0.1 B0.9,0.0
37,B1,1.0
38,Ag1,1.0
38,Ba0.1 Ag0.9,0.0
38,Ba0.2 Ag0.8,0.0
38,Ba0.3 Ag0.7,0.0
38,Ba0.4 Ag0.6,0.0
38,Ba0.5 Ag0.5,1.0
38,Ba0.6 Ag0.4,0.0
38,Ba0.7 Ag0.3,1.0
38,Ba0.8 Ag0.2,1.0
38,Ba0.9 Ag0.1,0.0
38,Ba1,1.0
39,Ag1,1.0
39,Ag0.9 Br0.1,0.0
39,Ag0.8 Br0.2,0.0
39,Ag0.7 Br0.3,0.0
39,Ag0.6 Br0.4,0.0
39,Ag0.5 Br0.5,1.0
39,Ag0.4 Br0.6,0.0
39,Ag0.3 Br0.7,0.0
39,Ag0.2 Br0.8,0.0
39,Ag0.1 Br0.9,0.0
39,Br1,1.0
40,Ag1,1.0
40,Ca0.1 Ag0.9,0.0
40,Ca0.2 Ag0.8,0.0
40,Ca0.3 Ag0.7,0.0
40,Ca0.4 Ag0.6,1.0
40,Ca0.5 Ag0.5,1.0
40,Ca0.6 Ag0.4,0.0
40,Ca0.7 Ag0.3,1.0
40,Ca0.8 Ag0.2,1.0
40,Ca0.9 Ag0.1,0.0
40,Ca1,1.0
41,Ag1,1.0
41,Cd0.1 Ag0.9,0.0
41,Cd0.2 Ag0.8,0.0
41,Cd0.3 Ag0.7,0.0
41,Cd0.4 Ag0.6,1.0
41,Cd0.5 Ag0.5,0.0
41,Cd0.6 Ag0.4,0.0
41,Cd0.7 Ag0.3,0.0
41,Cd0.8 Ag0.2,1.0
41,Cd0.9 Ag0.1,0.0
41,Cd1,1.0
42,Ag1,1.0
42,Co0.1 Ag0.9,0.0
42,Co0.2 Ag0.8,0.0
42,Co0.3 Ag0.7,0.0
42,Co0.4 Ag0.6,0.0
42,Co0.5 Ag0.5,0.0
42,Co0.6 Ag0.4,0.0
42,Co0.7 Ag0.3,0.0
42,Co0.8 Ag0.2,0.0
42,Co0.9 Ag0.1,0.0
42,Co1,1.0
43,Ag1,1.0
43,Cr0.1 Ag0.9,0.0
43,Cr0.2 Ag0.8,0.0
43,Cr0.3 Ag0.7,0.0
43,Cr0.4 Ag0.6,0.0
43,Cr0.5 Ag0.5,0.0
43,Cr0.6 Ag0.4,0.0
43,Cr0.7 Ag0.3,0.0
43,Cr0.8 Ag0.2,0.0
43,Cr0.9 Ag0.1,0.0
43,Cr1,1.0
